Lexical item,Level,Avanzado,Inicial,Intermedio,Adulta,Infantil,Juvenil,Native
Capa de ozono,B2,0,0,0,0,0,0,1
Capacidad,B1,1,0,0,3,0,2,37
Capaz,A1-A2,3,1,5,12,10,4,33
Capital,B1,3,3,6,2,0,0,55
Capítulo,B1,1,4,2,0,0,0,6
Cara,B1,16,24,47,22,27,88,21
Caramelo,B1,2,0,2,0,2,1,1
Cardiología,B1,0,0,0,0,0,0,0
Cargador,B1,0,0,0,0,0,0,0
Cargar la batería,B1,0,0,0,0,0,0,0
Cariño,B2,4,0,3,5,5,3,3
Carne,B1,6,4,3,6,6,3,5
Carne a la brasa,B2,0,0,0,0,0,0,0
Carnicero,A1-A2,0,0,0,1,0,0,0
Carnicería,A1-A2,0,0,0,0,0,0,0
Carpintero,B2,1,0,0,0,5,1,0
Carrera,B2,2,0,4,11,7,1,54
Carretera,B1,1,1,5,1,1,3,9
Carril,B1,0,0,0,0,0,0,3
Carrito,A1-A2,0,1,0,0,0,2,0
Carro,A1-A2,23,1,12,1,0,3,1
Carta,A1-A2,25,11,7,12,2,6,25
Carta de presentación,B1,0,0,0,0,0,0,0
Carta de reclamación,B2,0,0,0,0,0,0,0
Carta de recomendación,B2,0,0,0,0,0,0,0
Cartas al director,B2,0,0,0,0,0,0,0
Cartelera,B2,0,0,0,0,0,0,0
Cartón,B1,0,0,1,0,2,0,5
Casa,A1-A2,76,139,135,124,152,120,64
Casa rural,B1,0,0,0,0,0,0,0
Casado,A1-A2,4,3,7,3,2,7,3
Casarse,B1,0,0,0,0,0,0,0
Casco,B1,0,2,0,0,1,0,6
Casero,B1,0,0,0,1,0,1,2
Casilla,B2,0,0,0,0,0,0,1
Castillo,B1,28,4,0,0,36,4,8
Casting,B2,0,1,0,0,0,0,0
Catedral,B1,0,10,2,0,0,6,5
Catedrático,B2,1,0,0,3,0,0,0
Cateto,B2,0,0,0,0,0,0,0
Catorce,A1-A2,2,0,2,4,0,2,4
Cazuela de barro,B2,0,0,0,0,0,0,0
Cañería,B2,0,0,0,0,0,1,1
Cebolla,A1-A2,1,0,3,0,0,4,0
Cebra,B1,0,0,0,0,0,0,3
Ceda el paso,B2,0,0,0,0,0,0,0
Ceder el paso,B1,0,0,0,0,0,0,0
Ceja,B1,0,0,0,2,0,0,0
Celebrar,B1,2,6,11,1,10,8,34
Celular,B1,0,0,5,0,0,0,2
Cemento,B2,0,0,0,0,2,3,0
Cena,A1-A2,5,8,3,0,4,9,5
Cenar,A1-A2,1,9,0,3,0,6,1
Censura,B2,0,0,0,0,0,0,6
Central de seguridad,B2,0,0,0,0,0,0,0
Centro comercial,A1-A2,0,1,0,0,0,1,0
Centro de belleza,B2,0,0,0,0,0,0,0
Centro de flores,B1,0,0,0,0,0,0,0
Centro de salud,B2,0,0,0,0,0,0,0
Centésimo,A1-A2,0,0,0,0,0,0,0
Centímetro,B1,0,2,4,0,2,4,3
Centímetro cuadrado,B1,0,0,0,0,0,0,0
Centímetro cúbico,B1,0,0,0,0,0,0,1
Cepillar,B1,0,0,0,0,0,0,1
Cepillarse los dientes,A1-A2,0,0,0,0,0,0,0
Cepillo de dientes,A1-A2,0,0,1,0,0,1,0
Cera,B1,0,0,2,1,2,0,1
Cerdo,A1-A2,1,1,0,3,0,0,1
Cereal,B1,0,0,2,0,0,3,3
Cereales,A1-A2,0,0,0,0,0,0,0
Ceremonia,B1,0,0,2,1,1,1,11
Cereza,B1,0,0,0,0,9,1,0
Certamen,B2,0,0,0,0,0,0,3
Cerveza,B1,8,16,10,5,2,1,6
Cerveza de barril,B2,0,1,0,0,0,0,0
Cerámica,B1,0,0,2,0,0,0,1
Chalé,A1-A2,0,0,0,0,0,0,1
Champú,A1-A2,0,0,0,0,0,0,0
Chaqueta,B1,0,12,3,6,3,6,0
Chat,B2,0,0,0,0,0,0,0
Chatear,A1-A2,0,0,0,0,0,0,0
Cheque,B1,0,0,1,0,0,0,1
Chequeo,B2,0,0,0,0,0,0,1
Chile,B1,0,0,1,0,0,0,10
Chileno,A1-A2,1,1,0,0,0,0,14
Chimenea,A1-A2,0,0,0,1,6,3,0
Chocolate,B1,0,13,5,2,7,4,3
Chorizo,B1,0,1,1,0,0,0,0
Chuleta,B1,0,0,0,0,0,0,0
Chuleta de cerdo,B1,0,0,0,0,0,0,0
Ciar para una entrevista de trabajo,B2,0,0,0,0,0,0,0
Cicatriz,B2,0,0,0,1,0,0,0
Ciclismo,B2,0,0,0,0,0,0,12
Ciclista,A1-A2,0,0,0,0,0,0,16
Ciego,B2,1,0,32,2,4,2,16
Cielo cubierto,A1-A2,0,0,0,0,0,0,0
Cielo despejado,A1-A2,0,0,0,0,0,0,0
Cien,A1-A2,10,1,8,2,7,3,12
Ciento uno,A1-A2,0,0,0,0,0,0,0
Científico,B2,4,1,2,0,0,1,31
Cincel,B2,0,0,0,0,0,0,0
Cinco,A1-A2,13,24,12,16,9,8,91
Cinco sentidos,B2,0,0,0,1,0,0,0
