Lexical item;Level
cepillarse las uñas;B2
cepillarse los dientes;A2
cepillo;B1
cepillo de dientes;A2
cerámica;B1
cera;B1
cerdo;A2
cereal;A2
cerebro;B2
ceremonia;B1
ceremonia formal;B2
ceremonia informal;B2
ceremonia sencilla;B2
cereza;B1
cerrar;A1
cerrar un documento;B1
cerrar un sobre;B1
cerrar una cuenta;B1
certamen;B2
certificado;A2
certificar un paquete;B2
certificar una carta;B2
cerveza;A1
cerveza de barril;B2
cesárea;B2
cesta;B1
cesta de la compra;B1
chándal;B1
chalé;A2
chaleco;A1
chaleco homologado;B2
champán;A2
champú;A2
chaparrón;B2
chaqueta;B1
charlar;A1
charlar sobre un tema;B1
chat;A2
chatear;A2
chef;A2
cheque;A2
cheque de viaje;B1
cheque postal;B2
chequeo;B2
chico;A1
chile;A2
chileno;A2
chimenea;A2
chocar;B2
chocar contra algo;B2
chocolate;A2
chorizo;B1
chuche;A2
chuleta;B1
chuleta de cerdo;B1
chupar;B2
cibercafé;B1
cicatriz;B2
ciclismo;B2
ciclista;A2
ciclo;B1
ciego;B2
cielo;A2
cielo cubierto;A2
cielo despejado;A2
cien;A1
ciencia;A2
científico;A2
ciento;A2
cifra;B2
cima;B2
cincel;B2
cinco;A1
cinco sentidos;B2
cincuenta;A1
cine;A1
cine en blanco y negro;B1
cine en color;B1
cinturón;A1
cinturón de seguridad;B1
cinturón homologado;B2
cintura;B1
circo;A1
circuito laboral;B2
circulación;B1
circulación de mercancías;B2
circular;B1
circular en coche;B2
cirugía;B2
cirujano;B1
cisterna;B2
cita;A2
citar;B1
citar para una entrevista;B2
citar para una entrevista de trabajo;B2
citar textualmente;B2
ciudad;A1
ciudad abierta;A2
ciudad antigua;A2
ciudad cosmopolita;A2
ciudad industrial;A2
ciudad moderna;A2
ciudad monumental;B2
ciudad universitaria;A2
ciudadano;B1
civil;B2
cláusula;B1
cláusula del contrato;B2
cláusula del convenio colectivo;B2
clínica;B1
clínica veterinaria;B2
clara de huevo;B1
clarinete;B1
clarinetista;B1
claroscuro;B2
clase;A1
clase de español;A1
clase de historia;A1
clase de matemáticas;A1
clase práctica;B1
clase social;B2
clase teórica;B1
clase trabajadora;B2
clasicismo;B2
clasificado;B2
clasificar;B1
clasificar documentos;B1
clasificarse;B2
clasificarse para el campeonato;B2
clasificarse para la eliminatoria;B2
clasificarse para la final;B2
clasificarse para la semifinal;B2
clausurar;B1
cliente;A2
clientela;B2
clima;A1
clima caluroso;B2
clima continental;B2
clima desértico;B2
clima húmedo;B1
clima lluvioso;B2
clima mediterráneo;B2
clima seco;B1
clima suave;B2
clima templado;B2
clima tropical;B2
clip;B2
club;B1
coartada;B2
cobardía;B2
cobarde;B2
cobertizo;B1
cobertura;B1
cobrar;B1
cobrar comisiones;B2
cobrar dietas;B2
cobrar dinero;B2
cobrar el recibo de la luz;B2
cobrar el recibo del agua;B2
cobrar el subsidio;B2
cobrar el subsidio de desempleo;B2
cobrar intereses;B1
cobrar la factura;B2
cobrar la factura de la luz;B2
cobrar la factura del agua;B2
cobrar un anticipo;B2
cobrar un cheque;B2
cobrar un salario fijo;B2
cobrar un sueldo;B2
cobrar un sueldo razonable;B2
cobrar un sueldo ridículo;B2
cobrar una hora extra;B2
cobrar una indemnización;B2
cobrar una nómina;B2
cobrar una paga extra;B2
cobro;B2
cocer;B1
cocer a fuego lento;B2
cocer al baño maría;B2
cocer al vapor;B2
cocer arroz;B1
cocer pasta;B1
coche;A1
coche de carreras;B2
coche oficial;B2
coche particular;B2
cocido;B1
cocina;A1
cocina andaluza;B1
cocina de gas;A2
cocina eléctrica;A2
cocina india;B1
cocina internacional;B1
cocinar;A2
cocinar un alimento;B2
cocinar un plato;B2
cocinero;A2
cocodrilo;B1
codo;B1
coger;A2
coger el avión;A2
coger el metro;A2
coger el teléfono;B1
coger el tren;A2
coger un barco;A2
coger un catarro;B2
coger un taxi;A2
coger un virus;B2
cohete;B1
COI;B2
cojín;A1
colaboración;B1
colaborar;B1
colaborar como voluntario;B1
colar;B1
colchón;A2
colchoneta;B1
colección;B1
coleccionar;B1
coleccionar monedas;B1
coleccionar sellos;B1
colega;B1
