Lexical item;Level;Topic;Subtopic
Noviazgo;B1;Individuo y relaciones personales;Relaciones personales
Noviembre;A1-A2;Fecha y hora;Meses
Novio;B1;Individuo y relaciones personales;Relaciones personales
Nube;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Nublado;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Nuboso;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Nuera;B2;Individuo y relaciones personales;Relaciones familiares
Nueve;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Nuevo;B1;Vivienda;Vivienda
Nuez;B1;Alimentación;Alimentación sana / menús, platos, recetas
Nutrientes;B2;Alimentación;Alimentación nutritiva
Nutritivo;B1;Alimentación;Alimentación sana / menús, platos, recetas
Náuseas;B2;Salud y cuidados personales;Salud y enfermedad
Nómina;B2;Economía;Economía y finanzas
Número decimal;B2;Ciencia y tecnología;Ciencia y tecnología
Número equivocado;A1-A2;Información y medios de comunicación;Teléfono
Número impar;B2;Ciencia y tecnología;Ciencia y tecnología
Número par;B2;Ciencia y tecnología;Ciencia y tecnología
Obedecer;B1;Individuo y relaciones personales;Relaciones personales
Obediencia;B1;Individuo y relaciones personales;Relaciones personales
Objetivo;B1;Geografía y naturaleza;Safari fotográfico
Obra;B2;Artes;Artes plásticas
Obra de teatro;B2;Artes;Literatura y teatro
Obra literaria;B1;Artes;Literatura
Obrero;A1-A2;Trabajo;Profesiones
Obsequio;B1;Individuo y relaciones personales;Celebraciones
Obtener créditos;B2;Educación;Educación
Obtener una beca;B2;Educación;Educación
Ochenta;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Ocho;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Ochocientos;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Octavo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Octogésimo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Octubre;A1-A2;Fecha y hora;Meses
Oculista;B1;Salud y cuidados personales;En el hospital
Océano;A1-A2;Geografía y naturaleza;Accidentes geográficos
Odio;B2;Individuo y relaciones personales;Valores y comportamientos personales
Oeste;A1-A2;Geografía y naturaleza;Accidentes geográficos
Oferta;B2;Compras y tiendas;De compras
Oferta de empleo;B1;Trabajo;Trabajo
Oferta de trabajo;A1-A2;Trabajo;Profesiones
Oficina;A1-A2;Trabajo;En la oficina
Oficina de empleo;A1-A2;Trabajo;Profesiones
Oftalmólogo;B1;Salud y cuidados personales;En el hospital
Ojo;A1-A2;Salud e higiene;Cuerpo e higiene personal
Ola;A1-A2;Geografía y naturaleza;Accidentes geográficos
Olfato;B2;Individuo y relaciones personales;Sensaciones y percepciones
Oliva;B1;Alimentación;Alimentación sana / menús, platos, recetas
Olla a presión;B2;Alimentación;Alimentación nutritiva
Olvidar;B1;Educación;Educación
Once;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Operación;B1;Salud y cuidados personales;En el hospital
Opinar;B2;Comunicación;Comunicación personal
Optimismo;B2;Individuo y relaciones personales;Valores y comportamientos personales
Optimista;B1;Individuo y relaciones personales;Cáracter y personalidad
Oralmente;B2;Comunicación;Comunicación personal
Ordenado;A1-A2;Individuo y relaciones personales;Carácter
Ordenador;A1-A2;Trabajo;En la oficina
Ordeñar;B1;Geografía y naturaleza;En el campo
Oreja;A1-A2;Salud e higiene;Cuerpo e higiene personal
Origen;B2;Ciencia y tecnología;Ciencia y tecnología
Original;B2;Artes;Cine y fotografía
Orquesta;B1;Artes;Música y danza
Orégano;B2;Alimentación;Alimentación nutritiva
Oso;B1;Geografía y naturaleza;Safari fotográfico
Otoño;A1-A2;Geografía y naturaleza;Estaciones
Oveja;B1;Geografía y naturaleza;En el campo
Oído;B2;Individuo y relaciones personales;Sensaciones y percepciones
Paciente;B1;Individuo y relaciones personales;Cáracter y personalidad
Pacífico;B1;Geografía y naturaleza;Safari fotográfico
Padecer una enfermedad;B2;Salud y cuidados personales;Salud y enfermedad
Padre;A1-A2;Individuo y relaciones personales;Familia
Padres adoptivos;B1;Individuo y relaciones personales;Relaciones personales
Paga extra;B2;Trabajo;Actividad laboral
Pagar a plazos;B2;Compras y tiendas;De compras
Pagar al contado;B2;Compras y tiendas;De compras
Pagar con tarjeta;B1;Compras y tiendas;De compras
Pagar la comunidad;B1;Vivienda;Vivienda
Pagar una hipoteca;B1;Vivienda;Vivienda
Pago de las costas;B2;Justicia;Ley y orden
Pago por adelantado;B1;Vivienda;Vivienda
Paisaje;A1-A2;Geografía y naturaleza;Accidentes geográficos
Pala;B1;Ocio;Deportes de invierno y aventura
Palacio;B1;Artes;Arquitectura, escultura, pintura
Paladar;B2;Individuo y relaciones personales;Sensaciones y percepciones
Palco;B2;Artes;Literatura y teatro
Paleta;B2;Artes;Artes plásticas
Palillos;B1;Artes;Música y danza
Palo;B1;Ocio;Deportes de invierno y aventura
Pan;A1-A2;Alimentación;Alimentos
Pan integral;B2;Alimentación;Alimentación nutritiva
Pan rallado;B2;Alimentación;Alimentación nutritiva
Panadero;A1-A2;Alimentación;Alimentos
Panadería;A1-A2;Alimentación;Alimentos
Panameño;A1-A2;Ocio;Países de habla hispana y nacionalidades
Panamá;A1-A2;Ocio;Países de habla hispana y nacionalidades
Paneles solares;B2;Medioambiente;Problemas medioambientales
Pantalla;B1;Artes;Cine
Pantalones;A1-A2;Compras y tiendas;Ropa
Pantalón;B1;Compras y tiendas;Ropa, calzado y complementos
Papel;B2;Artes;Literatura y teatro
Papel higiénico;A1-A2;Vivienda;Cuarto de baño
Papelera;A1-A2;Trabajo;En la oficina
Papilas gustativas;B2;Individuo y relaciones personales;Sensaciones y percepciones
Papá;A1-A2;Individuo y relaciones personales;Familia
Paquete de salchichas;A1-A2;Alimentación;Alimentos
Paquete postal;B2;Comunicación;Comunicación personal
Parada;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Parada de autobús;A1-A2;Ciudad;Ciudad
Parada de taxi;A1-A2;Ciudad;Ciudad
Paraguas;A1-A2;Compras y tiendas;Complementos y calzados
Paraguay;A1-A2;Ocio;Países de habla hispana y nacionalidades
Paraguayo;A1-A2;Ocio;Países de habla hispana y nacionalidades
Parapente;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Parar el balón;B1;Ocio;Deportes de equipo
Parchís;B2;Ocio;Juegos y pasatiempos
Parecerse;B2;Individuo y relaciones personales;Relaciones familiares
Parecerse a;B2;Individuo y relaciones personales;Relaciones familiares
Pared;A1-A2;Vivienda;Salón
Pareja;B1;Individuo y relaciones personales;Relaciones personales
Pareja de hecho;B1;Individuo y relaciones personales;Relaciones personales
Parentesco;B2;Individuo y relaciones personales;Relaciones familiares
Parentesco de primer grado;B2;Individuo y relaciones personales;Relaciones familiares
Parentesco de segundo grado;B2;Individuo y relaciones personales;Relaciones familiares
Pariente lejano;B2;Individuo y relaciones personales;Relaciones familiares
Paro;A1-A2;Trabajo;Profesiones
Parque;B1;Ocio;Tiempo libre y entretenimiento
Parque acuático;B1;Ocio;Tiempo libre y entretenimiento
Parque de atracciones;A1-A2;Ocio;Aficiones y espectáculos
Parte meteorológico;B2;Comunicación;Medios de comunicación
Partida;B2;Ocio;Juegos y pasatiempos
Partido;B2;Ocio;Deportes
Partícula;B2;Ciencia y tecnología;Ciencia y tecnología
Parálisis;B2;Salud y cuidados personales;Salud y enfermedad
Pasajero;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Pasaporte;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Pasar;A1-A2;Alimentación;Utensilios de cocina y de mesa
Pasar de curso;B2;Educación;Educación
Pasar el aspirador;B1;Labores domésticas;Labores domésticas
Pasar el rato;B2;Ocio;Juegos y pasatiempos
Pasar una inspección;B2;Vivienda;La vivienda
Pasarlas canutas;B2;Educación;Educación
Pasarlo bien;B1;Ocio;Tiempo libre y entretenimiento
Pasarlo mal;B1;Ocio;Tiempo libre y entretenimiento
Pasatiempo;B2;Ocio;Juegos y pasatiempos
Pasatiempos;B1;Ocio;Tiempo libre y entretenimiento
Pasillo;A1-A2;Vivienda;Casa
Paso de peatones;B2;Viajes, alojamiento y transportes;Viajes y transportes
Pasta;B1;Alimentación;Alimentación sana / menús, platos, recetas
Pasta de dientes;A1-A2;Salud e higiene;Cuerpo e higiene personal
Pastel;B1;Alimentación;Alimentación sana / menús, platos, recetas
Pastilla;B1;Salud y cuidados personales;En el hospital
Patata;B1;Alimentación;Alimentación sana / menús, platos, recetas
Patinador;B1;Ocio;Deportes de invierno y aventura
Patinaje sobre hielo;B1;Ocio;Deportes de invierno y aventura
Patinar;B1;Ocio;Deportes de invierno y aventura
Patio de butacas;B2;Artes;Literatura y teatro
Patín;B1;Ocio;Deportes de invierno y aventura
País;A1-A2;Geografía y naturaleza;Accidentes geográficos
País en vías de desarrollo;B1;Economía;Economía
Pañuelo;B1;Compras y tiendas;Ropa, calzado y complementos
Peaje;B2;Viajes, alojamiento y transportes;Viajes y transportes
Peca;A1-A2;Individuo y relaciones personales;Descripción física
Pecho;B1;Salud y cuidados personales;El cuerpo humano y la salud
Pechuga;B1;Alimentación;Alimentación sana / menús, platos, recetas
Pechuga de pollo;B2;Alimentación;Alimentación nutritiva
Pedir;B1;Alimentación;Alimentación sana / menús, platos, recetas
Pedir cita;A1-A2;Salud e higiene;En el centro de salud
Pedir la cuenta;A1-A2;Alimentación;En el restaurante
Pedir peras al olmo;B2;Educación;Educación
Pedir una hipoteca;B1;Vivienda;Vivienda
Peinarse;A1-A2;Salud e higiene;Cuerpo e higiene personal
Peine;A1-A2;Salud e higiene;Cuerpo e higiene personal
Peligro;B1;Geografía y naturaleza;Safari fotográfico
Peligroso;B1;Geografía y naturaleza;Safari fotográfico
Pelo;A1-A2;Salud e higiene;Cuerpo e higiene personal
Pelo corto;A1-A2;Individuo y relaciones personales;Descripción física
Pelo largo;A1-A2;Individuo y relaciones personales;Descripción física
Pelo liso;A1-A2;Individuo y relaciones personales;Descripción física
Pelo moreno;A1-A2;Individuo y relaciones personales;Descripción física
Pelo rizado;A1-A2;Individuo y relaciones personales;Descripción física
Pelota;B1;Ocio;Deportes de equipo
Peluquero;A1-A2;Trabajo;Profesiones
Peluquería;A1-A2;Ciudad;Ciudad
Película;B2;Artes;Cine y fotografía
Película de acción;B1;Artes;Cine
Película de dibujos animados;B1;Artes;Cine
Película de guerra;B1;Artes;Cine
Película de terror;B1;Artes;Cine
Película del oeste;B1;Artes;Cine
Película doblada;B1;Artes;Cine
Película muda;B1;Artes;Cine
Película policiaca;B1;Artes;Cine
Película romántica;B1;Artes;Cine
Película subtitulada;B1;Artes;Cine
Penalti;B1;Ocio;Deportes de equipo
Pendiente;A1-A2;Compras y tiendas;Complementos y calzados
Pendientes;B1;Compras y tiendas;Ropa, calzado y complementos
Pensar;B1;Educación;Educación
Pensión;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Pensión completa;A1-A2;Viajes, transportes y alojamiento;En el hotel
Pera;A1-A2;Alimentación;Alimentos
Peral;B1;Geografía y naturaleza;En el campo
Percance;B2;Viajes, alojamiento y transportes;Viajes y transportes
Percepción;B2;Individuo y relaciones personales;Sensaciones y percepciones
Percepción visual;B2;Individuo y relaciones personales;Sensaciones y percepciones
Perchero;A1-A2;Trabajo;En la oficina
Percibir;B2;Individuo y relaciones personales;Sensaciones y percepciones
Percibir el desempleo;B2;Trabajo;Actividad laboral
Perdedor;B1;Ocio;Deportes de equipo
Perder a alguien;B2;Individuo y relaciones personales;Relaciones familiares
Perder el turno;B2;Ocio;Juegos y pasatiempos
Perdón;A1-A2;Relaciones sociales;Saludos
Perejil;A1-A2;Alimentación;Alimentos
Perfil competitivo;B2;Trabajo;Actividad laboral
Perfil profesional;B2;Trabajo;Actividad laboral
Periodista;A1-A2;Trabajo;Profesiones
Periódico;A1-A2;Trabajo;Profesiones
Perro;A1-A2;Geografía y naturaleza;Animales y plantas
Persiana;A1-A2;Vivienda;Dormitorio
Personaje;B1;Artes;Literatura
Personaje principal;B2;Artes;Literatura y teatro
Personaje secundario;B2;Artes;Literatura y teatro
Perspectiva;B2;Artes;Artes plásticas
Peruano;A1-A2;Ocio;Países de habla hispana y nacionalidades
Perú;A1-A2;Ocio;Países de habla hispana y nacionalidades
Pesarse;A1-A2;Vivienda;Cuarto de baño
Pescadero;A1-A2;Alimentación;Alimentos
Pescadería;A1-A2;Alimentación;Alimentos
Pescado;B1;Alimentación;Alimentación sana / menús, platos, recetas
Pesimista;B1;Individuo y relaciones personales;Cáracter y personalidad
Peso;B1;Formas y medidas;Formas y medidas
Pestaña;B1;Salud y cuidados personales;El cuerpo humano y la salud
Pez;A1-A2;Geografía y naturaleza;Animales y plantas
Pianista;B1;Artes;Música y danza
Piano;B1;Artes;Música y danza
Picante;B1;Alimentación;Alimentación sana / menús, platos, recetas
Picar;B1;Alimentación;Alimentación sana / menús, platos, recetas
Picar algo de comer;A1-A2;Alimentación;En el restaurante
Picnic;B1;Ocio;Tiempo libre y entretenimiento
Pictórico;B2;Artes;Artes plásticas
Pie;A1-A2;Salud e higiene;Cuerpo e higiene personal
Pie de foto;B2;Comunicación;Medios de comunicación
Piel;B2;Salud y cuidados personales;Higiene y belleza
Piel fresca;B2;Salud y cuidados personales;Higiene y belleza
Pierna;A1-A2;Salud e higiene;Cuerpo e higiene personal
Pijama;A1-A2;Compras y tiendas;Ropa
Pillar un catarro;B2;Salud y cuidados personales;Salud y enfermedad
Piloto;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Pimienta;B1;Alimentación;Alimentación sana / menús, platos, recetas
Pina;B1;Alimentación;Alimentación sana / menús, platos, recetas
Pincel;B2;Artes;Artes plásticas
Pincelada;B2;Artes;Artes plásticas
Pinchar una rueda;B2;Viajes, alojamiento y transportes;Viajes y transportes
Pincho de tortilla;A1-A2;Alimentación;En el restaurante
Pintar al óleo;B2;Artes;Artes plásticas
Pintar la mona;B2;Artes;Artes plásticas
Pintarse;B1;Salud y cuidados personales;El cuerpo humano y la salud
Pintarse las uñas;B2;Salud y cuidados personales;Higiene y belleza
Pintarse los labios;B1;Salud y cuidados personales;El cuerpo humano y la salud
Pintor;B1;Artes;Arquitectura, escultura, pintura
Pintor de brocha gorda;B2;Artes;Artes plásticas
Pintor impresionista;B1;Artes;Arquitectura, escultura, pintura
Pintura;B2;Artes;Artes plásticas
Pintura románica;B1;Artes;Arquitectura, escultura, pintura
Pinzas;B1;Salud y cuidados personales;El cuerpo humano y la salud
Piragua;B1;Ocio;Deportes de invierno y aventura
Piragüismo;B2;Ocio;Deportes
Piragüista;B1;Ocio;Deportes de invierno y aventura
Piscina;A1-A2;Vivienda;Casa
Piso;B1;Vivienda;Vivienda
Pista de hielo;B1;Ocio;Deportes de invierno y aventura
Pitar;B1;Ocio;Deportes de equipo
Pizarra;A1-A2;Educación;Objetos y acciones del aula
Pizca de sal;B2;Alimentación;Alimentación nutritiva
Pizzero;A1-A2;Trabajo;Profesiones
Piña;A1-A2;Alimentación;Alimentos
Plan de ahorro;B2;Economía;Economía y finanzas
Plancha;B1;Labores domésticas;Labores domésticas
Planchar;B1;Labores domésticas;Labores domésticas
Planeta;B1;Medioambiente;Desastres naturales
Plano turístico;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Planta;A1-A2;Geografía y naturaleza;Animales y plantas
Planta de reciclaje;B2;Medioambiente;Problemas medioambientales
Plantar;B1;Geografía y naturaleza;En el campo
Platea;B2;Artes;Literatura y teatro
Plato combinado;A1-A2;Alimentación;En el restaurante
Plato de postre;A1-A2;Alimentación;Utensilios de cocina y de mesa
Plato del día;A1-A2;Alimentación;En el restaurante
Plato hondo;A1-A2;Alimentación;Utensilios de cocina y de mesa
Plato llano;A1-A2;Alimentación;Utensilios de cocina y de mesa
Plato preparado;B1;Alimentación;Alimentación sana / menús, platos, recetas
Playa;A1-A2;Geografía y naturaleza;Accidentes geográficos
Plaza;A1-A2;Ciudad;Ciudad
Plaza de garaje;A1-A2;Vivienda;Casa
Plazo;B1;Economía;Economía
Plástico;B1;Medioambiente;Problemas medioambientales
Plátano;A1-A2;Alimentación;Alimentos
Pobre;B1;Economía;Economía
Pobreza;B1;Economía;Economía
Pocas calorías;B2;Alimentación;Alimentación nutritiva
Poema;B1;Artes;Literatura
Poesía;B1;Artes;Literatura
Poeta;B1;Artes;Literatura
Policía;B1;Justicia;En el juzgado
Policía Municipal;B2;Justicia;Ley y orden
Policía de tráfico;B2;Justicia;Ley y orden
Polideportivo;A1-A2;Ocio;Deportes
Pollo;B1;Alimentación;Alimentación sana / menús, platos, recetas
Polución;B2;Medioambiente;Problemas medioambientales
Pomada;B1;Salud y cuidados personales;En el hospital
Poner el despertador;A1-A2;Vivienda;Dormitorio
Poner el lavaplatos;A1-A2;Vivienda;Cocina
Poner gasolina;B1;Viajes, alojamiento y transporte;La conducción
Poner huevos;B1;Geografía y naturaleza;En el campo
Poner la lavadora;B1;Labores domésticas;Labores domésticas
Poner la mesa;B1;Labores domésticas;Labores domésticas
Poner las notas;B2;Educación;Educación
Poner una denuncia;B2;Justicia;Ley y orden
Poner una reclamación;B2;Compras y tiendas;De compras
Ponerse;A1-A2;Compras y tiendas;Ropa
Ponerse de buen humor;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Ponerse de mal humor;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Ponerse furioso;B2;Individuo y relaciones personales;Valores y comportamientos personales
Ponerse guapo;B2;Salud y cuidados personales;Higiene y belleza
Ponerse histérico;B2;Individuo y relaciones personales;Valores y comportamientos personales
Ponerse malo;B2;Alimentación;Alimentación nutritiva
Ponerse un traje;A1-A2;Compras y tiendas;Ropa
Ponerse una mascarilla;B2;Salud y cuidados personales;Higiene y belleza
Ponerse una pomada;B2;Salud y cuidados personales;Salud y enfermedad
Por escrito;B2;Comunicación;Comunicación personal
Por favor;A1-A2;Relaciones sociales;Saludos
Por la mañana;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Por la noche;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Por la tarde;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Porche;A1-A2;Vivienda;Casa
Poro;B2;Salud y cuidados personales;Higiene y belleza
Portada;B2;Comunicación;Medios de comunicación
Portero;B1;Vivienda;Vivienda
Portería;B1;Ocio;Deportes de equipo
Posgrado;B2;Trabajo;Actividad laboral
Posproducción;B2;Artes;Cine y fotografía
Postre;A1-A2;Alimentación;En el restaurante
Practicar;B1;Ocio;Deportes de equipo
Practicar un deporte;B1;Ocio;Deportes de invierno y aventura
Prado;B1;Geografía y naturaleza;En el campo
Precaución;B2;Viajes, alojamiento y transportes;Viajes y transportes
Precisión;B2;Ciencia y tecnología;Ciencia y tecnología
Prefijo;B1;Medios de comunicación;Teléfono
Pregrado;B1;Educación;Educación
Preguntar;A1-A2;Educación;Objetos y acciones del aula
Premiar;B2;Ocio;Juegos y pasatiempos
Premio;B2;Ocio;Juegos y pasatiempos
Prenda;B2;Compras y tiendas;De compras
Prensa del corazón;B2;Comunicación;Medios de comunicación
Prensa deportiva;B2;Comunicación;Medios de comunicación
Prensa digital;B2;Comunicación;Medios de comunicación
Prensa económica;B2;Comunicación;Medios de comunicación
Prensa rosa;B2;Comunicación;Medios de comunicación
Preocupación;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Preocupado;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Preocuparse;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Preparar la cena;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Preparar la comida;B1;Labores domésticas;Labores domésticas
Preproducción;B2;Artes;Cine y fotografía
Presentar el pasaporte;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Presupuesto;B2;Vivienda;La vivienda
Previsualizar;B2;Artes;Cine y fotografía
Primavera;A1-A2;Geografía y naturaleza;Estaciones
Primer plato;A1-A2;Alimentación;En el restaurante
Primer tiempo;B1;Ocio;Deportes de equipo
Primera página;B2;Comunicación;Medios de comunicación
Primero;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Primo;A1-A2;Individuo y relaciones personales;Familia
Probador;A1-A2;Compras y tiendas;Ropa
Probar;B1;Alimentación;Alimentación sana / menús, platos, recetas
Probarse;A1-A2;Compras y tiendas;Ropa
Probarse ropa;A1-A2;Compras y tiendas;Ropa
Procesamiento;B2;Justicia;Ley y orden
Proceso de selección;B2;Trabajo;Actividad laboral
Producción;B2;Artes;Cine y fotografía
Productor;B2;Artes;Cine y fotografía
Productos;B2;Compras y tiendas;De compras
Productos de belleza;B2;Salud y cuidados personales;Higiene y belleza
Productos frescos;B2;Alimentación;Alimentación nutritiva
Productos precocinados;B2;Alimentación;Alimentación nutritiva
Productos ricos en fibra;B2;Alimentación;Alimentación nutritiva
Profesión;A1-A2;Trabajo;Profesiones
Profesor;A1-A2;Trabajo;Profesiones
Programa;B1;Medios de comunicación;Internet
Programa radiofónico;B2;Comunicación;Medios de comunicación
Programación;B2;Comunicación;Medios de comunicación
Programar el horno;B1;Labores domésticas;Labores domésticas
Prohibido;B2;Viajes, alojamiento y transportes;Viajes y transportes
Promocionar;B1;Trabajo;Trabajo
Promoción;B2;Artes;Cine y fotografía
Propiedad;B1;Vivienda;Vivienda
Propiedades;B2;Ciencia y tecnología;Ciencia y tecnología
Propietario;B1;Vivienda;Vivienda
Propina;A1-A2;Alimentación;En el restaurante
Prosa;B2;Artes;Literatura y teatro
Prospecto;B2;Salud y cuidados personales;Salud y enfermedad
Protagonista;B2;Artes;Literatura y teatro
Protección ciudadana;B2;Justicia;Ley y orden
Proteína;B1;Alimentación;Alimentación sana / menús, platos, recetas
Proteínas;B2;Alimentación;Alimentación nutritiva
Proyectar;B1;Artes;Cine
Prudente;B2;Individuo y relaciones personales;Valores y comportamientos personales
Prueba;B1;Educación;Educación
Prácticas;B1;Educación;Educación
Préstamo;B2;Economía;Economía y finanzas
Publicarse;B1;Artes;Literatura
Pudrirse;B2;Alimentación;Alimentación nutritiva
Pueblo;A1-A2;Ciudad;Ciudad
Puente;B1;Artes;Arquitectura, escultura, pintura
Puente aéreo;B2;Viajes, alojamiento y transportes;Viajes y transportes
Puerta;A1-A2;Vivienda;Casa
Puerta de embarque;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Puerto;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Puerto Rico;A1-A2;Ocio;Países de habla hispana y nacionalidades
Puertorriqueño;A1-A2;Ocio;Países de habla hispana y nacionalidades
Puesto de trabajo;B1;Trabajo;Trabajo
Pulsaciones;B2;Salud y cuidados personales;Salud y enfermedad
Pulsera;A1-A2;Compras y tiendas;Complementos y calzados
Punto;A1-A2;Información y medios de comunicación;Internet
Puntual;A1-A2;Individuo y relaciones personales;Carácter
Puré;A1-A2;Alimentación;Utensilios de cocina y de mesa
Página web;A1-A2;Información y medios de comunicación;Internet
Pájaro;A1-A2;Geografía y naturaleza;Animales y plantas
Pérdida;B2;Economía;Economía y finanzas
Póquer;B2;Ocio;Juegos y pasatiempos
Quedar;B1;Educación;Educación
Quedar apretado;B2;Compras y tiendas;De compras
Quedar bien;B1;Compras y tiendas;Ropa, calzado y complementos
Quedar con;A1-A2;Ocio;Aficiones y espectáculos
Quedar con gente;A1-A2;Ocio;Aficiones y espectáculos
Quedar estrecho;B1;Compras y tiendas;Ropa, calzado y complementos
Quedar grande;B1;Compras y tiendas;Ropa, calzado y complementos
Quedar mal;B1;Compras y tiendas;Ropa, calzado y complementos
Quedarse en blanco;B1;Educación;Educación
Quedarse huérfano;B2;Individuo y relaciones personales;Relaciones familiares
Quedarse mudo;B2;Individuo y relaciones personales;Sensaciones y percepciones
Quesito;B1;Alimentación;Alimentación sana / menús, platos, recetas
Queso;B1;Alimentación;Alimentación sana / menús, platos, recetas
Queso fresco;A1-A2;Alimentación;Alimentos
Queso rallado;B2;Alimentación;Alimentación nutritiva
Quince;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Quincuagésimo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Quiniela;B2;Ocio;Juegos y pasatiempos
Quinientos;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Quinto;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Quiosco;A1-A2;Ciudad;Ciudad
Quisquilloso;B2;Individuo y relaciones personales;Valores y comportamientos personales
Quitar el polvo;B1;Labores domésticas;Labores domésticas
Quitar la mesa;B1;Labores domésticas;Labores domésticas
Quitarse;A1-A2;Compras y tiendas;Ropa
Quitarse ropa;A1-A2;Compras y tiendas;Ropa
Qué hora es;A1-A2;Fecha y hora;Hora
Químico;B2;Ciencia y tecnología;Ciencia y tecnología
Radiaciones ultravioletas;B1;Medioambiente;Problemas medioambientales
Radiación;B2;Medioambiente;Problemas medioambientales
Radio;B1;Ocio;Tiempo libre y entretenimiento
Radioactividad;B2;Medioambiente;Problemas medioambientales
Radiografía;B2;Salud y cuidados personales;Salud y enfermedad
Rama;B1;Geografía y naturaleza;En el campo
Ramo;B1;Geografía y naturaleza;En el campo
Raqueta;A1-A2;Ocio;Deportes
Ratón;B1;Medios de comunicación;Internet
Rayas;B1;Compras y tiendas;Ropa, calzado y complementos
Rayos solares;B2;Medioambiente;Problemas medioambientales
Raíz;B1;Geografía y naturaleza;En el campo
Realismo;B2;Artes;Artes plásticas
Realización de una película;B2;Artes;Cine y fotografía
Rebajado;B2;Compras y tiendas;De compras
Rebajar;B2;Compras y tiendas;De compras
Rebajas;B1;Compras y tiendas;De compras
Rebozado;B2;Alimentación;Alimentación nutritiva
Recepcionista;A1-A2;Viajes, transportes y alojamiento;En el hotel
Recepción;A1-A2;Viajes, transportes y alojamiento;En el hotel
Receta;A1-A2;Salud e higiene;En el centro de salud
Recetar;A1-A2;Salud e higiene;En el centro de salud
Recibidor;A1-A2;Vivienda;Casa
Recibir un mensaje;A1-A2;Información y medios de comunicación;Internet
Recibir una llamada;B1;Medios de comunicación;Teléfono
Recibo;B2;Compras y tiendas;De compras
Reciclado;B1;Medioambiente;Problemas medioambientales
Reciclar;B2;Medioambiente;Problemas medioambientales
Recogedor;B1;Labores domésticas;Labores domésticas
Recoger;B1;Geografía y naturaleza;En el campo
Recoger el equipaje;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Recoger la mesa;A1-A2;Alimentación;Utensilios de cocina y de mesa
Recogerse el pelo;B2;Salud y cuidados personales;Higiene y belleza
Recolectar;B1;Geografía y naturaleza;En el campo
Recordar;B1;Educación;Educación
Recorrer;B1;Viajes, alojamiento y transporte;La conducción
Recortarse la barba;B2;Salud y cuidados personales;Higiene y belleza
Rectangular;B1;Formas y medidas;Formas y medidas
Rector;B2;Educación;Educación
Rectángulo;B1;Formas y medidas;Formas y medidas
Recuperación;B1;Salud y cuidados personales;En el hospital
Recursos;B2;Medioambiente;Problemas medioambientales
Recursos naturales;B1;Economía;Economía
Red;B1;Medios de comunicación;Internet
Red de transportes;B2;Viajes, alojamiento y transportes;Viajes y transportes
Redacción;B2;Comunicación;Medios de comunicación
Redactor;B2;Comunicación;Medios de comunicación
Reducir;B1;Medioambiente;Problemas medioambientales
Reducir la velocidad;B1;Viajes, alojamiento y transporte;La conducción
Reenviar;B1;Medios de comunicación;Internet
Reflexionar;B1;Educación;Educación
Refresco;B1;Alimentación;Alimentación sana / menús, platos, recetas
Regalo;B1;Individuo y relaciones personales;Celebraciones
Regar;B1;Geografía y naturaleza;En el campo
Región;A1-A2;Geografía y naturaleza;Accidentes geográficos
Regulación;B2;Medioambiente;Problemas medioambientales
Rehogado;B1;Alimentación;Alimentación sana / menús, platos, recetas
Rehogar;B1;Alimentación;Alimentación sana / menús, platos, recetas
